Pressure (bar),MgMOF74 (cm3/gr),PCN61(cm3/gr),DUT32(cm3/gr),DUT49(cm3/gr),MOF177(cm3/gr),NU800(cm3/gr),UIO66(cm3/gr),ZIF8(cm3/gr),IRMOF1(cm3/gr),IRMOF10(cm3/gr),IRMOF16(cm3/gr)
0.00001,0.000153916,0.000287928,0.000159837,0.000203061,0.000146376,5.74E-05,0.000197909,0.000123099,0,0.000112264,4.57E-05
0.00002,0.000384789,0.000287928,0.000143853,0.000385816,0.000341544,5.74E-05,0.00074861,0.000348781,0.000145549,0.000112264,4.57E-05
0.00003,0.000577184,0.000609729,0.000367625,0.000527959,0.000536712,0.000688842,0.000791634,0.000574463,0.000145549,0.000224529,0.000411163
0.00004,0.000795231,0.000880719,0.000511478,0.000649795,0.000634296,0.000574035,0.001161637,0.000718078,0.000436647,0.000392925,0.000502532
0.00005,0.000795231,0.000965404,0.000495494,0.000670102,0.000829464,0.000688842,0.001600477,0.000677045,0.000291098,0.00078585,0.001142118
0.00006,0.001064584,0.001168647,0.000527462,0.001137142,0.00097584,0.000401824,0.001669315,0.001107892,0.000363873,0.000673586,0.000822325
0.00007,0.001244152,0.001287205,0.00060738,0.000994999,0.000829464,0.000803649,0.00197048,0.000861694,0.000509422,0.00078585,0.000776641
0.00008,0.001167194,0.001405764,0.000671315,0.001583876,0.001073424,0.000918456,0.00242653,0.001169442,0.000727745,0.001010378,0.000639586
0.00009,0.001359589,0.001490448,0.000990989,0.00109653,0.000878256,0.000975859,0.002839556,0.001661839,0.000727745,0.000841982,0.000959379
0.0001,0.001603289,0.001913871,0.000879103,0.001908774,0.0012198,0.000975859,0.002908394,0.001908037,0.000727745,0.000954246,0.001142118
0.0002,0.003283536,0.002997833,0.001710255,0.003431732,0.0024396,0.002066526,0.006315861,0.003405743,0.001892138,0.002133021,0.003060877
0.0003,0.005194656,0.005656928,0.002349602,0.005279588,0.0036594,0.003099789,0.009310303,0.004677768,0.002910981,0.003536324,0.003426355
0.0004,0.006425982,0.007045755,0.003372558,0.007025913,0.0048792,0.003673823,0.012821027,0.007098718,0.004148148,0.003816984,0.004568473
0.0005,0.008401234,0.008468455,0.005082813,0.00907683,0.005757456,0.005338525,0.015643373,0.007919379,0.003565952,0.004995759,0.006213124
0.0006,0.009991696,0.010433137,0.005498389,0.010477952,0.006391753,0.00476449,0.017785948,0.009252953,0.005894737,0.00527642,0.007675035
0.0007,0.012120864,0.012211513,0.006585279,0.012508562,0.008148265,0.007118033,0.022200167,0.011489254,0.006185835,0.009374065,0.0086801
0.0008,0.013313711,0.013532592,0.007272578,0.01366601,0.009221689,0.005682946,0.024308322,0.012904894,0.00691358,0.007970762,0.009548109
0.0009,0.014955479,0.015056914,0.008151681,0.015351417,0.009514441,0.009356769,0.027999745,0.01499758,0.0077141,0.008868875,0.010690228
0.001,0.016917904,0.017207901,0.009686115,0.017280498,0.011270953,0.009356769,0.030589765,0.015572043,0.007131904,0.009374065,0.011238445
0.002,0.033220146,0.034957783,0.01820542,0.03364722,0.023322578,0.020493046,0.0613086,0.032723858,0.016592592,0.021498603,0.023847431
0.003,0.050125224,0.052013252,0.028946458,0.050480983,0.036106083,0.030366447,0.092259762,0.048090735,0.02539831,0.0309288,0.036227994
0.004,0.063567198,0.070931782,0.037945275,0.067944236,0.046108444,0.03995283,0.121834171,0.065447715,0.035222871,0.042604281,0.048014656
0.005,0.082178175,0.086937162,0.045313755,0.085143509,0.057818524,0.048448547,0.15197649,0.080075998,0.046866795,0.05180995,0.060029741
0.006,0.09680017,0.10256993,0.054632245,0.102078803,0.070455653,0.05935521,0.183805333,0.098274156,0.055163091,0.061520807,0.074283378
0.007,0.114231127,0.120878731,0.06662001,0.119521749,0.080165262,0.068711979,0.216116041,0.113476901,0.062440544,0.072410439,0.082963477
0.008,0.129904879,0.136901048,0.075411038,0.136335206,0.091924135,0.079159414,0.242584147,0.12960289,0.068408055,0.082177428,0.095389725
0.009,0.147964325,0.154888047,0.085145104,0.151849073,0.104658848,0.091730779,0.277046033,0.142774499,0.079979205,0.091776021,0.104480987
0.01,0.165061798,0.174738106,0.095102942,0.171464772,0.107830328,0.100169092,0.305630899,0.158879971,0.084491226,0.104910938,0.119054417
0.02,0.32600635,0.347748648,0.191164905,0.346076991,0.230395841,0.194540432,0.609885044,0.322068413,0.171384011,0.201121397,0.24308847
0.03,0.497917398,0.51823559,0.282096104,0.525522064,0.353205315,0.285065737,0.912616154,0.483718115,0.257767374,0.315294135,0.355061753
0.04,0.65934935,0.692668832,0.376463796,0.685879396,0.453375298,0.394074967,1.202904845,0.644526639,0.345679002,0.410045159,0.493851975
