Pressure (bar),MgMOF74 (cm3/gr),PCN61(cm3/gr),DUT32(cm3/gr),DUT49(cm3/gr),MOF177(cm3/gr),NU800(cm3/gr),UIO66(cm3/gr),ZIF8(cm3/gr),IRMOF1(cm3/gr),IRMOF10(cm3/gr),IRMOF16(cm3/gr)
0.00001,0.000153916,0.000287928,0.000159837,0.000203061,0.000146376,5.74E-05,0.000197909,0.000123099,0.0001,0.000112264,4.57E-05
0.00002125,0.000412934,0.000518395,0.000295077,0.00042892,0.000401395,0.000175884,0.000370426,0.000332831,0.000186624,0.000198579,0.000119715
0.0000325,0.00061782,0.000732386,0.00038588,0.000649583,0.000567387,0.000344436,0.000544138,0.000562149,0.000269234,0.000294601,0.000207163
0.00004375,0.000781801,0.000937914,0.00046321,0.000866024,0.000682765,0.000547849,0.000720776,0.000795027,0.000349074,0.000396908,0.000303902
0.000055,0.000934708,0.00113827,0.000539813,0.001079123,0.000783399,0.000774188,0.00090063,0.001026028,0.000426956,0.000503622,0.000407703
0.00006625,0.001090415,0.001335179,0.000619476,0.001289526,0.000883907,0.001014645,0.001083554,0.001253193,0.000503428,0.000613489,0.000517148
0.0000775,0.00125359,0.001529674,0.000702873,0.00149771,0.000989427,0.001262877,0.001269428,0.00147591,0.000578876,0.000725623,0.000631265
0.00008875,0.001424877,0.001722419,0.00078964,0.001704033,0.001101397,0.00151437,0.001458121,0.001694128,0.000653579,0.000839371,0.000749329
0.0001,0.001603289,0.001913871,0.000879103,0.001908774,0.0012198,0.001765947,0.001649484,0.001908037,0.000727745,0.000954246,0.000870787
0.00011,0.001766601,0.002083228,0.000960321,0.002089615,0.001329979,0.001987834,0.001821716,0.00209479,0.000793348,0.001057002,0.000981252
0.00022125,0.003631399,0.003946794,0.001885813,0.004054866,0.002711941,0.00418232,0.003848953,0.004016189,0.001519747,0.002202356,0.002315849
0.0003325,0.005378315,0.005808463,0.00280112,0.00597494,0.004092602,0.005868938,0.006033459,0.005773719,0.002260753,0.003311133,0.00376067
0.00044375,0.007116419,0.007681489,0.003755947,0.007874478,0.005371182,0.007219286,0.008334174,0.007455945,0.003024077,0.004377757,0.005261295
0.000555,0.008935166,0.009567005,0.00478762,0.009763246,0.006578949,0.008364677,0.010728643,0.009100596,0.003809467,0.00541138,0.006794337
0.00066625,0.010847417,0.011463882,0.005905045,0.011646052,0.007753367,0.009382855,0.013198517,0.010726289,0.00461503,0.006421259,0.008347539
0.0007775,0.012833556,0.013370597,0.007102408,0.013525566,0.008918892,0.010320067,0.015735727,0.012343191,0.005438617,0.007414799,0.009913587
0.00088875,0.014865723,0.015285696,0.008367526,0.015403382,0.010089156,0.011204838,0.018329462,0.013957235,0.006278186,0.008397645,0.011487796
0.001,0.016917903,0.017207903,0.009686114,0.0172805,0.011270953,0.01205545,0.020973686,0.015572044,0.007131904,0.009374065,0.013066913
0.0011,0.018762471,0.018940893,0.010905246,0.018967743,0.012345419,0.012800978,0.023391243,0.017026097,0.007910028,0.010248946,0.014489241
0.0022125,0.037877401,0.038403979,0.024597012,0.037784754,0.024876763,0.020918038,0.052043494,0.03351747,0.017015126,0.020144643,0.030278952
0.003325,0.05545354,0.057979838,0.036446505,0.056710268,0.037537176,0.029622974,0.082764994,0.050595308,0.026527407,0.030688856,0.045831905
0.0044375,0.073251066,0.077547739,0.046815056,0.075723566,0.049773274,0.039105901,0.114693149,0.068111995,0.036176983,0.041922277,0.061125067
0.00555,0.091550778,0.097075471,0.056530743,0.094800831,0.0616091,0.049288763,0.147432234,0.085938157,0.045864301,0.053746191,0.076190534
0.0066625,0.110116245,0.116556005,0.066058473,0.113924531,0.073201381,0.060064298,0.180722339,0.103983003,0.055549838,0.066049783,0.091062107
0.007775,0.128670144,0.135990564,0.075614589,0.133082105,0.08469954,0.07132988,0.214422694,0.122183026,0.065218411,0.078733041,0.105765373
0.0088875,0.147018765,0.155383057,0.08528744,0.152264431,0.096216584,0.082994221,0.248432405,0.140492975,0.074865468,0.09171058,0.120325041
0.01,0.165061791,0.174738052,0.095102945,0.171464752,0.107830327,0.094978166,0.282661518,0.158879969,0.08449122,0.10491094,0.134757792
0.011,0.180994853,0.192107477,0.104044939,0.188734595,0.118393968,0.105966846,0.313554789,0.175453185,0.093127266,0.116917461,0.147636209
0.022125,0.349243479,0.384213665,0.2071414,0.381019205,0.245755046,0.232935999,0.659956964,0.360261501,0.188788023,0.252078664,0.286794485
0.03325,0.524196117,0.57535993,0.310003602,0.572948808,0.383846713,0.355793004,1.002845239,0.543366333,0.284881661,0.380835344,0.421619711
0.044375,0.71055888,0.766149524,0.411705713,0.764313855,0.521926198,0.470162057,1.338541913,0.724333683,0.381970866,0.50089796,0.554236351
0.0555,0.901330945,0.956733179,0.513769197,0.955138545,0.655404163,0.577092493,1.666346733,0.903547678,0.480042659,0.613772413,0.685529974
0.066625,1.090915547,1.147136766,0.617046715,1.145484233,0.783614486,0.678372121,1.986363761,1.08140903,0.57894647,0.721255629,0.816026372
0.07775,1.276714455,1.337348856,0.721726023,1.33541226,0.907440646,0.77556738,2.299260052,1.258237615,0.678513603,0.824828312,0.945976993
0.088875,1.458224475,1.527348246,0.827644603,1.524976247,1.02814451,0.869892165,2.605053766,1.434275962,0.778590239,0.925618219,1.075601376
0.1,1.636021988,1.717113267,0.934503011,1.714221358,1.146905486,0.9622551,2.904263533,1.609706247,0.879044968,1.02446792,1.205030768
0.11,1.793480946,1.887472746,1.031090915,1.884088382,1.252793933,1.044163923,3.168171182,1.7669913,0.969573414,1.112187996,1.321248211
0.22125,3.546188354,3.766804961,2.099174231,3.763398057,2.463282719,1.951193658,5.834868153,3.505046426,1.978078708,2.079897676,2.615694842
0.3325,5.393204603,5.615851962,3.134103404,5.630979558,3.76214115,2.913256613,8.143785988,5.23508938,2.972684612,3.097729684,3.921352884
0.44375,7.245546472,7.436970464,4.159370996,7.490879888,5.094052751,3.937462311,10.20778542,6.957937287,3.949486685,4.17860777,5.239882313
0.555,9.041307991,9.233247465,5.189392689,9.34420934,6.42174877,5.010593381,12.08820383,8.669795111,4.911185756,5.313213886,6.570048803
0.66625,10.77148125,11.00731476,6.226058681,11.19122366,7.732740261,6.11936057,13.82480112,10.36713942,5.861073541,6.490372118,7.910411059
0.7775,12.44901275,12.76128163,7.266563794,13.03188961,9.026180079,7.252919255,15.44302944,12.0472766,6.801961499,7.700182725,9.25933137
0.88875,14.09135586,14.49683041,8.307250517,14.8660769,10.30534601,8.402854644,16.96191222,13.70826243,7.736070904,8.934435993,10.61571007
1,15.71388601,16.21531592,9.345006443,16.69363115,11.57434198,9.562751544,18.39735866,15.34874028,8.665117866,10.1864645,11.9790754
1.1,17.16511132,17.74637595,10.27347478,18.33059223,12.70939091,10.60982961,19.62328416,16.80506548,9.496989945,11.32259771,13.20896159
2.2125,33.64592529,34.05444884,20.24921048,36.15227151,25.3302162,22.0662183,30.60033707,31.79887381,18.68506766,24.01591239,27.08509435
