Pressure,Uptake,Error
1.00000000000000,0.0001979085,0.0000608994
2.00000000000000,0.0007486103,0.0001538792
3.00000000000000,0.0007916339,0.0002686589
4.00000000000000,0.0011616366,0.0002033878
5.00000000000000,0.0016004771,0.0004973367
6.00000000000000,0.0016693149,0.0002430111
7.00000000000000,0.0019704799,0.0001940564
8.00000000000000,0.0024265298,0.0006166746
9.00000000000000,0.0028395562,0.0005137027
10.00000000000000,0.0029083939,0.0002156427
20.00000000000000,0.0063158614,0.0002836387
30.00000000000000,0.0093103025,0.0005797138
40.00000000000000,0.0128210265,0.0015238885
50.00000000000000,0.0156433733,0.0011656852
60.00000000000000,0.0177859475,0.0008517540
70.00000000000000,0.0222001667,0.0011468100
80.00000000000000,0.0243083220,0.0012371600
90.00000000000000,0.0279997451,0.0021854691
100.00000000000000,0.0305897645,0.0019431350
200.00000000000000,0.0613085998,0.0016767538
300.00000000000000,0.0922597624,0.0019836743
400.00000000000000,0.1218341705,0.0020392716
500.00000000000000,0.1519764898,0.0026487852
600.00000000000000,0.1838053334,0.0057125410
700.00000000000000,0.2161160411,0.0053554153
800.00000000000000,0.2425841468,0.0056004740
900.00000000000000,0.2770460334,0.0084684636
1000.00000000000000,0.3056308992,0.0053974673
2000.00000000000000,0.6098850439,0.0079250735
3000.00000000000000,0.9126161539,0.0139062296
4000.00000000000000,1.2029048449,0.0191109725
5000.00000000000000,1.4956716941,0.0076181320
6000.00000000000000,1.7800661548,0.0139137873
7000.00000000000000,2.0879859084,0.0555667072
8000.00000000000000,2.3567283911,0.0444371200
9000.00000000000000,2.6473268519,0.0293039419
10000.00000000000000,2.8833542053,0.0418184777
20000.00000000000000,5.4467764738,0.0910026295
30000.00000000000000,7.6831248914,0.1017409123
40000.00000000000000,9.5698551028,0.1147435770
50000.00000000000000,11.5572346745,0.1675656249
60000.00000000000000,13.2040654104,0.0767548554
70000.00000000000000,14.7584987084,0.1248590628
80000.00000000000000,16.3561190749,0.1072949212
90000.00000000000000,17.8274222139,0.0222956702
100000.00000000000000,19.1787928246,0.0909762264
200000.00000000000000,29.5600640193,0.1877557979
300000.00000000000000,37.0429313607,0.2154536246
400000.00000000000000,43.0449701428,0.1304145154
500000.00000000000000,48.0888738245,0.2328625741
600000.00000000000000,52.6005758363,0.1886500072
700000.00000000000000,56.4774391284,0.1263733394
800000.00000000000000,60.1906407267,0.2072370866
900000.00000000000000,63.0771270485,0.2552366282
1000000.00000000000000,66.1773459053,0.2610159082
2000000.00000000000000,88.4346995170,0.3216554554
3000000.00000000000000,102.9672469942,0.5732089190
4000000.00000000000000,114.7736656325,0.7679989070
5000000.00000000000000,123.3253677426,1.0239062164
6000000.00000000000000,131.6296756697,0.7156020396
7000000.00000000000000,138.2280642778,0.8476587371
8000000.00000000000000,143.8106231663,0.7617455911
9000000.00000000000000,148.6442017807,0.7878781839
10000000.00000000000000,153.2377690582,0.9877504378
