Pressure (bar),MgMOF74 (cm3/gr),PCN61(cm3/gr),DUT32(cm3/gr),DUT49(cm3/gr),MOF177(cm3/gr),NU800(cm3/gr),UIO66(cm3/gr),ZIF8(cm3/gr),IRMOF1(cm3/gr),IRMOF10(cm3/gr),IRMOF16(cm3/gr)
0.00001,0.000295005,0.000389549,0.000143853,0.000284286,0.000341544,0.000172211,0.001032566,0.000410331,7.28E-05,0.000336793,0.000228424
0.00002,0.000641316,0.000592792,0.000255739,0.000771632,0.000536712,0.000287018,0.001841409,0.000697562,7.28E-05,0.000449057,0.000456847
0.00003,0.001128715,0.001270268,0.000367625,0.000954387,0.000439128,0.000401824,0.002805137,0.000861694,0.000873294,0.000392925,0.000730956
0.00004,0.001359589,0.001625943,0.000479511,0.001401121,0.001268592,0.000803649,0.003657004,0.001497706,0.000654971,0.001122643,0.000639586
0.00005,0.001834163,0.00208324,0.000847135,0.001624489,0.001268592,0.000459228,0.004594918,0.001354091,0.000509422,0.000729718,0.001050749
0.00006,0.002270257,0.002540537,0.000927054,0.001908774,0.001658928,0.001262877,0.005524228,0.001620806,0.001164392,0.001010378,0.000913695
0.00007,0.002231778,0.0025236,0.000959021,0.002517957,0.0024396,0.000918456,0.006720283,0.00201062,0.001091618,0.001347171,0.001142118
0.00008,0.00278331,0.003353508,0.001278695,0.002842855,0.001854096,0.001090666,0.007038658,0.002379917,0.001091618,0.001515567,0.001461912
0.00009,0.003604193,0.003624499,0.00134263,0.00302561,0.0024396,0.001262877,0.008819834,0.002667148,0.001455491,0.001403303,0.00173602
0.0001,0.003629846,0.003912426,0.001566401,0.003269283,0.002878728,0.001262877,0.008759601,0.003139028,0.00160104,0.001908492,0.001873074
0.0002,0.007195561,0.008959626,0.003100835,0.007594484,0.006294169,0.003501613,0.019171307,0.005580495,0.003129305,0.003536324,0.003517725
0.0003,0.010171265,0.011737279,0.004539367,0.009686013,0.008782561,0.004247858,0.027724394,0.008986238,0.005094217,0.004602834,0.005801961
0.0004,0.014288511,0.016039254,0.005706177,0.013889378,0.011710081,0.006945822,0.037198186,0.011714936,0.006185835,0.006791987,0.007857774
0.0005,0.017456609,0.020493662,0.0067611,0.017930293,0.014247265,0.008266103,0.044804755,0.016556836,0.007350227,0.008925008,0.008634415
0.0006,0.021291677,0.025303744,0.008775045,0.020631005,0.016394113,0.010734453,0.054579712,0.018341774,0.009751787,0.009486329,0.011329814
0.0007,0.024139118,0.028809685,0.010549234,0.024753145,0.01971197,0.011652909,0.064681648,0.020352393,0.01077063,0.01296652,0.013111519
