Pressure (bar),MgMOF74 (cm3/gr),PCN61(cm3/gr),DUT32(cm3/gr),DUT49(cm3/gr),MOF177(cm3/gr),NU800(cm3/gr),UIO66(cm3/gr),ZIF8(cm3/gr),IRMOF1(cm3/gr),IRMOF10(cm3/gr),IRMOF16(cm3/gr)
0.00001,0.000295005,0.000389549,0.000143853,0.000284286,0.000341544,0.000172211,0.001032566,0.000410331,7.28E-05,0.000336793,0.000228424
0.00002125,0.000777187,0.000944733,0.000313727,0.000686801,0.000310662,0.000294714,0.001851424,0.000593703,0.000192905,0.000571563,0.000309516
0.0000325,0.001225132,0.00135034,0.000497825,0.001023569,0.000488622,0.000422238,0.002740505,0.000948583,0.000341456,0.000797479,0.000420427
0.00004375,0.001643875,0.001688001,0.000686928,0.001322499,0.000769417,0.000553961,0.003678385,0.001364169,0.000497484,0.001017638,0.00054691
0.000055,0.002047611,0.002039492,0.000877126,0.001635256,0.001127186,0.000689437,0.004652082,0.00178049,0.000652137,0.001233589,0.000685271
0.00006625,0.002444694,0.002435632,0.001066611,0.001984585,0.001537251,0.000828324,0.005652692,0.002168694,0.00080266,0.001446248,0.000833646
0.0000775,0.002839493,0.002883069,0.001254539,0.002375982,0.001976978,0.000970343,0.006673801,0.002521467,0.000948892,0.001656222,0.000990787
0.00008875,0.0032342,0.003378105,0.001440541,0.002806535,0.002428377,0.001115261,0.007710644,0.002842419,0.001091618,0.001863941,0.001155737
0.0001,0.003629847,0.003912426,0.001624497,0.003269283,0.002878728,0.001262877,0.008759601,0.003139028,0.001231868,0.002069726,0.001327708
0.00011,0.003982664,0.004412144,0.001786304,0.003700658,0.003271538,0.001396216,0.009699898,0.003388575,0.001355258,0.002251226,0.001485917
0.00022125,0.007957561,0.009893976,0.003500428,0.008396008,0.006903416,0.00298824,0.020351623,0.006149212,0.002767523,0.004209909,0.003484127
0.0003325,0.011919114,0.013920399,0.005123512,0.011941522,0.009894008,0.004724913,0.030969614,0.009495312,0.004366472,0.006103656,0.005710592
0.00044375,0.015809931,0.017405565,0.006710605,0.015166093,0.012921138,0.006557753,0.041416514,0.013181926,0.006127972,0.007962137,0.00799612
0.000555,0.019635247,0.021041796,0.008285835,0.018581743,0.016150875,0.008457671,0.05169802,0.016903022,0.007982282,0.009798291,0.010262808
0.00066625,0.023413375,0.025010075,0.009860378,0.022266175,0.019594731,0.010405373,0.061843424,0.020516967,0.009871148,0.011619138,0.012477898
0.0007775,0.027161578,0.029299883,0.011439606,0.026155143,0.023223575,0.012387347,0.0718822,0.023990255,0.01175472,0.01342897,0.01463139
0.00088875,0.030893278,0.033843793,0.013026073,0.030157833,0.026999418,0.014393786,0.081839305,0.027337943,0.013608836,0.015230624,0.016724494
0.001,0.034618215,0.038565343,0.014620867,0.034195484,0.030885338,0.016417399,0.091734871,0.030590141,0.015420759,0.017026076,0.018763571
0.0011,0.037966376,0.04290439,0.016061757,0.037807793,0.034445193,0.018246454,0.100590509,0.033457061,0.017009149,0.018635865,0.020557221
