Pressure (bar),MgMOF74 (cm3/gr),PCN61(cm3/gr),DUT32(cm3/gr),DUT49(cm3/gr),MOF177(cm3/gr),NU800(cm3/gr),UIO66(cm3/gr),ZIF8(cm3/gr),IRMOF1(cm3/gr),IRMOF10(cm3/gr),IRMOF16(cm3/gr)
0.00001,0.004117246,0.005081073,0.001422548,0.002619488,0.001854096,0.001262877,0.011297992,0.003713491,0.001964912,0.001122643,0.000913695
0.00002,0.007131429,0.009908093,0.0022537,0.005827853,0.00341544,0.001722105,0.021701093,0.006237024,0.002692658,0.002469813,0.002329921
0.00003,0.011697596,0.013820519,0.00298895,0.008284892,0.004976784,0.00344421,0.034169326,0.011119957,0.003420403,0.002357549,0.002923823
0.00004,0.015212005,0.018054747,0.004107808,0.011148053,0.007757929,0.006256981,0.044262658,0.014156402,0.004293697,0.003760852,0.005573538
0.00005,0.018649456,0.022543028,0.005194699,0.014924989,0.009660817,0.005625542,0.055818791,0.018013509,0.006185835,0.006399062,0.00694408
0.00006,0.023523455,0.028487884,0.00615372,0.017199273,0.010343905,0.008495717,0.066566081,0.021850099,0.006185835,0.007465572,0.008223252
0.00007,0.027640701,0.033314903,0.008263567,0.01925019,0.011222161,0.00952898,0.075884988,0.024455698,0.007495776,0.008532083,0.009274001
0.00008,0.031385983,0.03936138,0.008055779,0.023088044,0.014930353,0.010734453,0.091511152,0.029872061,0.009242365,0.009766989,0.01023338
0.00009,0.034913219,0.045102993,0.009270539,0.026113654,0.017125993,0.01084926,0.101767973,0.032744374,0.010916179,0.010384443,0.012746041
0.0001,0.03810697,0.048202448,0.009909886,0.028936203,0.017516329,0.011882523,0.110062919,0.037545241,0.012007797,0.01161935,0.012152139
0.0002,0.077586356,0.096218589,0.020906664,0.058542508,0.035081451,0.023879852,0.222603997,0.072956764,0.02619883,0.026269834,0.024806811
0.0003,0.117194005,0.138594739,0.031791555,0.087884834,0.052451404,0.03633641,0.334430883,0.109086365,0.034858998,0.036542012,0.037872645
0.0004,0.155057275,0.194622039,0.043827272,0.114140631,0.072700086,0.053500054,0.443134257,0.145687846,0.044246912,0.048049097,0.05075574
0.0005,0.198128028,0.238353143,0.05413675,0.143056528,0.090118831,0.063488261,0.559409781,0.181366083,0.05851072,0.061520807,0.062770825
0.0006,0.230360548,0.291890717,0.064925739,0.16912957,0.106122608,0.074107907,0.659706348,0.216675023,0.071974007,0.073140156,0.079719861
0.0007,0.272238454,0.339178571,0.075203251,0.202492505,0.126468874,0.090869727,0.763634105,0.254897309,0.082453539,0.082289692,0.08839996
0.0008,0.314360059,0.383959763,0.084154116,0.223245347,0.142960571,0.105163196,0.897816043,0.2853028,0.092787522,0.094807156,0.103338868
0.0009,0.348349784,0.429638611,0.096253767,0.253948181,0.159208308,0.115955052,0.988389281,0.326725664,0.104795319,0.109850565,0.118917363
0.001,0.385456302,0.464003602,0.105524306,0.28802183,0.184189814,0.126574698,1.089761437,0.364455554,0.113237164,0.117428401,0.130658339
0.002,0.76285768,0.956562835,0.219392097,0.560529794,0.361597539,0.253838238,2.18148475,0.714754705,0.227857043,0.237270484,0.252590895
0.003,1.144414784,1.393484317,0.325763539,0.866116407,0.542274329,0.388679039,3.341976951,1.085611415,0.334617274,0.357337095,0.391883649
0.004,1.558499412,1.847105593,0.426700526,1.161103231,0.707971973,0.517549876,4.376805883,1.468018928,0.455859636,0.480041916,0.511349228
0.005,1.963054091,2.289277517,0.53572526,1.434585888,0.87615801,0.641541417,5.493741013,1.806233846,0.577393096,0.614422219,0.627160029
0.006,2.311865622,2.76215606,0.645820901,1.710748951,1.074643881,0.766049589,6.296027501,2.166934875,0.686991533,0.723206273,0.770016193
0.007,2.640629629,3.279155256,0.738829979,2.005512409,1.252588318,0.892107656,7.479330803,2.567602096,0.806923953,0.859887993,0.888613762
0.008,3.020557791,3.692805423,0.84411453,2.277939148,1.435460748,1.013573443,8.369299345,2.880725304,0.919724469,0.976642809,1.032155197
0.009,3.482074118,4.029358773,0.963864318,2.554670782,1.610087329,1.136703932,9.356750712,3.234266066,1.034562673,1.087784412,1.170854049
0.01,3.930584565,4.410794935,1.070443547,2.802445907,1.842093307,1.298753987,10.40760162,3.57061398,1.157842721,1.210208573,1.266654937
0.02,7.602629177,8.605254712,2.127524732,5.711234899,3.5616211,2.575637245,19.90848133,7.097281563,2.305424234,2.488561543,2.597314185
0.03,11.0921169,12.28898195,3.211362609,8.354359086,5.248946172,3.848846678,28.85740293,10.77663313,3.402573,3.630064397,3.733173728
0.04,14.69651555,15.22987323,4.219150101,11.28727173,7.11641132,5.104720258,37.05965032,14.21936761,4.651165555,4.854137604,5.20330847
0.05,17.86276741,18.28520721,5.286285025,13.99570036,8.97123934,6.364899099,44.65666782,17.21112834,5.72626364,5.962859298,6.44191298
0.06,21.52216528,21.95245484,6.285281488,16.59660815,10.49681892,7.679037222,51.48247907,20.25038484,6.966923772,7.311545818,7.790800438
0.07,25.11836791,24.24334136,7.496189682,19.36022878,12.22517807,8.975322859,58.13106759,23.49140084,8.018006262,8.380413705,9.000395142
0.08,28.44617999,26.9646964,8.433840752,21.56273074,14.19178857,10.21259771,64.0463106,26.97943581,9.101910064,9.452424991,10.13228011
0.09,31.87524296,29.83753517,9.515089272,24.27469263,15.89614205,11.3700817,68.98596815,29.88199069,10.29774109,10.73908552,11.19687147
0.1,34.91990139,31.88835793,10.75481606,26.76326703,17.55936387,12.55431573,73.97881145,33.19467092,11.38521084,11.75911846,12.77943634
0.2,64.73952277,54.27490578,20.4003482,51.44243702,34.46198737,25.38876049,111.3353503,63.16638038,22.7569584,23.83089284,25.20595812
0.3,90.01308905,74.07259604,30.2367096,75.90766186,50.29250417,36.86389058,134.4673733,90.83865924,33.36835769,34.86461586,37.34302141
0.4,112.527626,91.71120282,40.23471403,98.59356402,64.83969369,48.93245796,150.9150637,114.0223532,44.03026251,45.98225642,48.44907163
0.5,130.1326487,107.8469128,49.86565307,119.9028136,80.37716571,59.04701051,164.5973018,132.5100198,54.0983272,56.6982155,59.18640036
0.6,147.1576143,123.6349081,59.401649,139.5902144,94.1954027,69.97514273,174.9602105,151.2760135,63.73825934,66.18538627,69.66140735
0.7,160.8946063,137.79425,68.27772643,157.9813545,109.3825481,79.80543319,183.6756604,166.4883194,72.50329612,76.17797068,80.88733431
0.8,173.6346092,151.3415936,78.21737441,175.9708601,122.8156698,91.45610315,191.0557014,180.862279,82.0865369,85.65846174,93.4340983
0.9,185.4248109,164.6170828,86.13033875,192.0525663,136.2069768,102.3028372,197.6292998,192.5560624,92.1525639,96.37167034,102.6242678
1,195.8993025,176.8953776,95.82223957,207.3851395,149.9705667,110.9668036,202.9869572,202.647423,100.1956046,105.9787955,115.1101341
2,266.4799915,282.6241435,175.4176636,330.9164515,270.2107019,202.7536656,237.2870752,271.4208877,187.0741985,197.8836399,213.4446967
3,307.4702268,361.4169887,245.8013687,420.6473946,364.4695342,276.6445875,253.97149,306.2181044,257.3371308,277.257942,302.1862876
4,335.938763,424.8337105,308.0838697,491.5751663,446.2765496,340.1195311,264.9118698,330.8606259,320.8396735,347.0320794,380.8088012
5,358.2020967,478.1687872,363.8707118,551.328284,515.0121384,389.9377249,272.1311919,345.7599317,372.6953809,410.8903402,452.1670766
6,375.5899058,521.5868792,415.0180488,601.4057038,574.239727,435.2224206,278.0191838,359.6042367,418.8159461,468.5885494,517.9502155
7,390.4194174,560.0089044,461.9309074,647.2722868,627.5364036,473.8689192,282.6696799,369.526377,457.8604258,520.9559471,579.8072084
8,403.1971296,592.6332558,503.4934023,686.3518985,676.3436792,507.1855037,286.37808,377.7388754,494.383632,570.053368,641.0637211
9,413.9520428,621.4985954,545.1552199,722.4109766,718.3369075,536.8309627,289.2863965,385.5726386,525.2743082,615.0978811,692.8470017
10,424.1231536,646.4870253,581.738908,755.567378,754.0232814,564.5744143,292.0263445,390.9032627,550.4747441,656.6459805,746.8607937
20,482.7010704,804.9572968,864.4323222,990.5546299,1004.696689,737.2851018,308.5836763,425.8763881,723.5189599,967.9707325,1153.906475
30,513.2904628,888.9079903,1054.903375,1140.77034,1139.585404,828.6530332,317.8926192,442.5515017,815.015607,1171.536739,1453.766359
40,533.427797,942.0877723,1197.429311,1252.528638,1224.203278,889.0606787,323.6173882,452.6375896,868.6209596,1321.543159,1692.901226
50,548.5249039,981.9675744,1310.963474,1339.370448,1287.702948,933.1413936,328.8075204,460.9171975,909.2466114,1433.248609,1891.800726
60,560.3265723,1012.003119,1405.742474,1411.234616,1334.352055,967.6000205,332.4773198,466.5204247,942.1575084,1521.940339,2063.68602
70,567.9089744,1037.217335,1484.319594,1472.254469,1370.409541,993.8786499,335.7258238,470.9514402,967.5567643,1595.967719,2210.178277
80,576.0207568,1058.393351,1553.603493,1523.152195,1403.772781,1015.545598,338.8417204,475.423817,985.0995006,1660.676606,2339.477313
90,583.051076,1076.165353,1614.375168,1567.401904,1430.772812,1036.084452,341.3457013,479.0318736,1006.824735,1715.27548,2454.79618
100,588.7894137,1090.347119,1665.300523,1606.121184,1454.750472,1052.609999,343.8865104,481.0363381,1021.770221,1761.656556,2557.660293
