Pressure (bar),MgMOF74 (cm3/gr),PCN61(cm3/gr),DUT32(cm3/gr),DUT49(cm3/gr),MOF177(cm3/gr),NU800(cm3/gr),UIO66(cm3/gr),ZIF8(cm3/gr),IRMOF1(cm3/gr),IRMOF10(cm3/gr),IRMOF16(cm3/gr)
0.00001,0.004117246,0.005081073,0.001422548,0.002619488,0.001854096,0.001262877,0.011297992,0.003713491,0.001964912,0.001122643,0.000913695
0.00002125,0.008439727,0.009582166,0.002423566,0.006355811,0.003357826,0.002242355,0.020033533,0.007689661,0.002728882,0.002975002,0.002695399
0.0000325,0.012722098,0.015079782,0.003445608,0.010134486,0.005075125,0.003381423,0.030474869,0.012114634,0.00363026,0.004873757,0.004628816
0.00004375,0.016978452,0.020817782,0.004487212,0.013844653,0.006943227,0.004635117,0.042119769,0.016578494,0.004661087,0.006698284,0.006550726
0.000055,0.0212181,0.026507138,0.0055459,0.017473614,0.008923707,0.005976254,0.054663126,0.020956399,0.005852593,0.008433012,0.008421006
0.00006625,0.025447189,0.03207112,0.006619329,0.021028056,0.010989272,0.007385069,0.067881507,0.02522632,0.007206921,0.010086044,0.010233206
0.0000775,0.029669892,0.037518288,0.007705517,0.024518133,0.013119631,0.008846488,0.081604387,0.029400532,0.008705424,0.01166988,0.011990861
0.00008875,0.033889125,0.042883228,0.008802823,0.02795358,0.015299313,0.010348744,0.095699419,0.033499986,0.010317606,0.013196412,0.013700154
0.0001,0.038106968,0.048202443,0.009909887,0.031342825,0.017516329,0.011882523,0.11006292,0.037545227,0.012007797,0.014675777,0.015367488
0.00011,0.041856229,0.052916835,0.010901214,0.034322444,0.019510697,0.013266288,0.122989396,0.041109616,0.013546592,0.01595795,0.01681908
0.00022125,0.083714346,0.106713472,0.022241661,0.066256942,0.042144457,0.029086701,0.267859244,0.080548394,0.028585835,0.029125948,0.031821242
0.0003325,0.125965135,0.16185436,0.033902984,0.097271937,0.064315988,0.044579903,0.40471647,0.120896122,0.038688965,0.041619572,0.045924382
0.00044375,0.168592235,0.215419528,0.045718172,0.128073776,0.085645983,0.059382772,0.531989308,0.161803536,0.047990597,0.054071007,0.059782356
0.000555,0.21153411,0.266833272,0.057616602,0.158877686,0.106240931,0.073568489,0.651738708,0.202772465,0.058479963,0.066630646,0.073593829
0.00066625,0.254733873,0.316699561,0.069562646,0.189758947,0.126263909,0.087270795,0.766013059,0.243563183,0.070521484,0.079332147,0.08743003
0.0007775,0.298144747,0.365799301,0.081536421,0.220742533,0.145858234,0.100611125,0.876390392,0.284099526,0.083919633,0.092173643,0.101317016
0.00088875,0.341729054,0.414759515,0.09352609,0.251833068,0.165137604,0.113687125,0.984026403,0.324384896,0.09829621,0.105141909,0.11526259
0.001,0.385456396,0.464003676,0.105524292,0.283026554,0.184189807,0.126574695,1.089761758,0.364455643,0.113237165,0.118220752,0.129266692
0.0011,0.424863465,0.50872177,0.116312555,0.311147308,0.20117747,0.138046769,1.183693615,0.400329197,0.126834745,0.130058134,0.141901774
0.0022125,0.866609483,1.038300277,0.236199321,0.627456011,0.388625518,0.264830556,2.218489398,0.797225938,0.254638061,0.264464835,0.284456546
0.003325,1.309770603,1.582066346,0.355697909,0.946447185,0.581138535,0.396952843,3.293101229,1.197241735,0.354922019,0.399937598,0.428480185
0.0044375,1.751757851,2.101192964,0.474940916,1.265617592,0.780533199,0.535994075,4.416441121,1.599223673,0.466929082,0.534611981,0.572591636
0.00555,2.191811075,2.592104739,0.594056503,1.584089249,0.98579379,0.681020475,5.57803112,2.000188226,0.59663583,0.668289281,0.716407964
0.0066625,2.629712431,3.061922619,0.713124893,1.901565669,1.195627017,0.830821485,6.766576432,2.39833668,0.737376889,0.80115915,0.859866206
0.007775,3.065437669,3.518212072,0.832194664,2.217978234,1.408885317,0.984297899,7.97251888,2.792870024,0.881155128,0.933476751,1.003007708
0.0088875,3.499036319,3.966607566,0.951295124,2.533351772,1.624625961,1.14052685,9.188202137,3.183588391,1.022260997,1.06547691,1.145904035
0.01,3.930584785,4.41079508,1.070443735,2.847748419,1.842093052,1.298753677,10.40760146,3.570614057,1.157844401,1.197354933,1.288630144
0.011,4.316812764,4.808320914,1.177593071,3.129579905,2.038544157,1.442178902,11.5029575,3.915580144,1.274452825,1.315922232,1.416834939
0.022125,8.521423226,9.192111499,2.37300315,6.229519515,4.218362431,3.042811328,23.13856655,7.636658128,2.464411126,2.653396085,2.846724786
0.03325,12.58783595,13.32169278,3.572750086,9.290507352,6.315386977,4.572522333,33.3275253,11.28269652,3.80239615,4.038874393,4.294867202
0.044375,16.54021741,17.05700086,4.774023384,12.32849544,8.321641009,6.019061984,42.17480979,14.9296089,5.218379928,5.467958554,5.763382557
0.0555,20.39126018,20.4381695,5.974893347,15.34809798,10.25539281,7.399847234,49.94503864,18.58883732,6.587634048,6.930422372,7.249166545
0.066625,24.14919107,23.54758505,7.174108877,18.35032052,12.13415619,8.732139399,56.86160133,22.2545751,7.873545722,8.417133623,8.748554667
0.07775,27.82011477,26.45850608,8.370843296,21.3349451,13.97148102,10.02925235,63.09363903,25.91707552,9.086442038,9.920773603,10.25825605
0.088875,31.40895675,29.22582861,9.564538915,24.30136661,15.7774132,11.30094543,68.76756975,29.56661915,10.24965325,11.43561342,11.77550041
0.1,34.91990243,31.8883585,10.75481431,27.24890991,17.55936437,12.55431603,73.97881192,33.19467087,11.38521093,12.95718397,13.29799987
0.11,38.01236843,34.21453734,11.82158776,29.8817598,19.1452195,13.66961087,78.32890677,36.43160207,12.39629409,14.32773392,14.66946524
0.22125,68.96617658,58.01832621,23.46939854,58.03947771,36.33236149,25.85933808,113.7714606,70.08749411,24.18355894,29.36710814,29.87755363
0.3325,94.95094698,79.57918785,34.71801225,84.11533369,53.25201241,38.11205702,136.9466216,98.80940872,36.64123089,43.60631323,44.67261413
0.44375,117.273268,99.21564053,45.6061082,108.2873465,70.02765918,50.47157438,154.15551,123.1001196,48.68119619,56.99400222,58.93152368
