Pressure (bar),MgMOF74 (cm3/gr),PCN61(cm3/gr),DUT32(cm3/gr),DUT49(cm3/gr),MOF177(cm3/gr),NU800(cm3/gr),UIO66(cm3/gr),ZIF8(cm3/gr),IRMOF1(cm3/gr),IRMOF10(cm3/gr),IRMOF16(cm3/gr)
0.00001,56.3051971,29.58481953,0.646715987,8.526209674,2.822080701,0.998992957,178.2062879,79.57484071,0.816966838,0.68980766,0.716656423
0.00002,119.0492793,34.18615471,1.295813543,17.27458847,5.426793025,2.001143105,204.6269816,183.388212,1.654528866,1.375180882,1.465155106
0.00003,153.1325846,38.29921569,1.917163418,26.24643598,8.083956753,3.028665597,211.9716658,215.9967053,2.465819291,2.088620166,2.118766596
0.00004,172.0578067,42.67207195,2.544778898,36.65881907,10.69115747,4.018416591,215.2212798,229.5467008,3.337876445,2.751933464,2.787134256
0.00005,184.5147457,46.96615463,3.205097004,47.91431175,12.98696762,5.045996486,218.0537199,239.5787687,4.106957644,3.406770811,3.510003803
0.00006,194.2536098,51.52516447,3.838194889,58.93959408,15.67755387,6.092175112,219.6153123,244.8196535,4.930037542,4.0365171,4.229629733
0.00007,202.1533476,56.22278599,4.430486419,70.42442393,18.23664567,7.083877826,220.6504682,250.1044642,5.73317722,4.813329551,4.839612303
0.00008,208.7718396,60.75393461,5.035325144,81.90105012,20.34582641,8.124947541,223.1697741,253.7328322,6.555311049,5.477653227,5.556816943
0.00009,214.8118393,65.37737246,5.756940692,93.10047763,22.40231178,9.1963263,225.6261709,256.4510256,7.428023174,6.137542465,6.281513879
0.0001,219.9949901,69.86363827,6.330595242,105.573626,25.21531716,10.25042661,227.5505123,258.3505686,8.211295405,6.601025405,7.004109318
0.0002,255.081454,116.4882432,11.9312794,189.29388,45.30942562,21.27918715,244.9455734,274.7668457,16.49740302,12.8916963,13.47251944
0.0003,273.3876911,149.8130544,17.02357041,232.8752136,62.30592494,32.43917208,258.5669761,284.2654224,24.55951065,18.99752412,19.02951912
0.0004,285.5354904,175.0617538,21.91219727,261.1662513,78.06374165,43.82859876,263.5993409,289.0598266,32.07952083,24.29516163,24.47829167
0.0005,295.2186242,194.79798,26.3897077,283.0075412,94.42150484,55.90445638,267.3655045,294.3064766,40.39874085,30.14783357,29.71915299
0.0006,303.2769722,211.0136322,31.3142499,299.6419593,109.8725174,68.89165184,273.4963473,296.4098307,47.65072245,34.65092087,34.61016062
0.0007,309.4016897,228.027538,35.88382637,316.3697246,122.6382133,82.80918567,277.6016399,300.5630319,55.68765009,39.91078146,39.15131456
0.0008,315.742787,245.1782263,40.34140514,332.768998,139.4706251,98.94737356,277.7341009,301.1381512,62.47693124,44.16772941,42.94255358
0.0009,320.7291309,264.7909993,44.65294096,347.6663302,153.0561243,114.8697817,279.9322186,303.1920195,69.52143266,48.70601156,45.75897175
0.001,324.7065058,285.6498209,48.82709698,361.2438263,167.9249019,135.4001977,282.0124517,303.400652,77.2543811,52.62139553,50.6636848
0.002,359.0865606,458.4710755,88.9783282,446.0927546,318.5979271,394.0943117,292.8593498,311.9458463,187.8573252,90.63738105,82.72783519
0.003,379.1369323,533.1145301,126.3466396,498.7707168,461.7570813,485.6422605,299.1659181,315.0165136,433.7608502,127.6317058,114.7815238
0.004,389.4585856,580.6723757,162.6319442,538.5538945,570.4338531,517.575306,302.059271,317.644701,562.7873935,164.1961146,145.5167509
0.005,396.7395437,614.5093421,194.5429611,569.3919272,663.2472223,539.8198476,302.2338779,319.5526558,622.0250578,202.5099372,175.4755204
0.006,401.7256054,638.6988241,225.4398609,592.7098569,745.1998818,557.6989686,302.3955605,320.4069024,657.2410879,242.7443765,206.7573197
0.007,404.3890017,655.5103507,251.6476742,611.9025197,803.3504846,571.0777707,302.4825198,320.8133963,681.0150703,281.9931918,235.8690941
0.008,406.0997623,668.5694879,276.2561118,628.5200635,852.8350419,586.4017474,302.4864177,322.4410338,694.1745969,318.9538373,265.9536336
0.009,408.2663956,677.5746739,297.4850224,643.8551953,896.5105697,599.4990428,302.5147272,323.4726457,707.6120494,351.942686,293.5529236
0.01,410.2877452,686.3468079,317.9453894,655.3300752,926.8421188,613.6259846,300.9144136,323.4626541,718.2535774,380.0898023,319.1393899
0.02,416.8793661,730.5955877,473.0532684,736.5467282,1074.493065,735.3448064,302.5733253,326.6041034,761.9550446,569.0712803,491.4625265
0.03,420.317664,756.3611,589.4515488,788.7060927,1114.38448,775.6925723,302.7701066,328.8921063,780.2658432,694.2034227,588.2185446
0.04,421.8152898,778.7351484,685.320205,830.2130356,1137.16776,793.7034917,302.8017891,330.9883823,793.7857493,805.459592,660.7928106
0.05,423.0734098,802.4329011,765.864213,869.3552307,1152.020582,804.0684956,302.8038199,332.0448397,801.8718725,883.5846737,719.2941227
0.06,423.32292,816.6059111,838.1561466,913.8632132,1158.162325,813.8241042,302.837275,333.5769112,810.0354278,952.6950488,773.1020136
0.07,424.0968468,828.3851937,893.4417084,970.7382447,1177.184229,825.7342379,302.854493,333.4877054,813.4965115,1041.794073,826.7144196
0.08,425.3390622,831.4191363,937.1664446,1036.584251,1178.991533,826.5678514,302.8340826,334.9207847,817.4820813,1141.890952,873.4604557
0.09,425.3123578,837.7241892,972.3409735,1086.404636,1183.70528,833.7012684,302.8399597,335.0774899,819.8939019,1292.78583,921.1118719
0.1,426.2624412,842.9661122,1006.516069,1124.937059,1192.057398,839.9747812,302.8498379,335.2796803,821.5600019,1406.072354,969.1732172
0.2,430.2022479,863.3434683,1242.885735,1329.431807,1224.938134,867.4185866,302.7289588,341.4664179,839.0365134,1596.389216,1301.153672
0.3,432.6244454,875.1885169,1442.441213,1473.062713,1239.66683,880.8527257,302.8771923,339.3228514,848.4578308,1637.801475,2646.535329
0.4,434.8117291,881.1433991,1644.65676,1498.792724,1248.72165,890.0740799,302.8744904,345.0917495,864.3343216,1664.387838,2736.355856
0.5,437.3651013,887.655438,1673.256836,1516.229254,1256.143645,900.6713384,302.8809783,343.2908294,866.725547,1681.544846,2777.065934
0.6,436.5000436,889.448735,1690.457039,1527.084005,1261.20323,905.6333536,302.8805997,347.1086675,869.2761486,1697.335373,2810.71434
0.7,438.8599566,895.5751543,1703.466162,1533.487861,1267.929842,907.4738817,302.8808751,348.5468964,869.8678055,1705.535098,2832.98816
0.8,440.0323327,898.1724465,1713.083601,1547.15174,1271.667309,907.9324782,302.8787497,349.5302125,879.2817,1720.898516,2853.074093
0.9,441.6141504,898.1611157,1721.351909,1548.538789,1273.924525,907.5627423,302.8828197,348.7372898,914.1877834,1727.10134,2870.650198
1,445.5570867,900.8121487,1728.476984,1553.389065,1280.321401,914.5171753,302.8795586,349.8052775,916.0508113,1730.046312,2880.87202
