Pressure (bar),MgMOF74 (cm3/gr),PCN61(cm3/gr),DUT32(cm3/gr),DUT49(cm3/gr),MOF177(cm3/gr),NU800(cm3/gr),UIO66(cm3/gr),ZIF8(cm3/gr),IRMOF1(cm3/gr),IRMOF10(cm3/gr),IRMOF16(cm3/gr)
0.00001,56.30519713,29.58481945,0.646716002,8.526209692,2.822080722,0.99899297,178.2062879,79.57484073,0.816966844,0.689807661,0.716656424
0.00002125,116.587534,34.38685723,1.394480678,17.80109923,5.777145516,2.120944146,202.5834606,190.0271544,1.741785489,1.476987127,1.556935736
0.0000325,160.889191,39.92639576,2.066360614,28.80469177,8.739380545,3.241000302,213.632428,221.1056073,2.677897491,2.255412319,2.29449802
4.38E-05,184.5667138,45.43794609,2.752960954,40.93036536,11.65810056,4.365561256,218.1305168,225.3637093,3.619004522,2.998779543,3.083787979
0.000055,197.0385634,50.81923949,3.4645307,53.75924675,14.51552876,5.50274301,220.3794944,232.7351028,4.563015921,3.732465293,3.870960356
6.63E-05,204.6285468,56.05642323,4.189135491,66.92125812,17.30263359,6.657625029,222.0633088,241.486532,5.504180776,4.458407823,4.656358306
0.0000775,210.298268,61.15413664,4.91381314,80.10102417,20.01522804,7.833051099,223.7483918,249.3961295,6.436711854,5.177902063,5.44023043
0.00008875,215.269706,66.12101969,5.62937905,93.04737983,22.65237301,9.030461102,225.578754,255.7436978,7.356339376,5.89187548,6.222764949
0.0001,219.9949903,70.96619427,6.330594806,105.5736278,25.2153192,10.25042674,227.5505124,260.5665902,8.260554988,6.601025405,7.004109318
0.00011,224.0992371,75.17738507,6.939980518,116.2502687,27.43334198,11.35380919,229.3839333,263.812543,9.050531134,7.238391417,7.663906076
0.00022125,260.3562283,117.1978904,13.02918569,201.1810791,49.11456185,24.7109581,247.8784895,278.0063024,17.20446891,14.13974799,14.69771756
0.0003325,278.6638057,152.7374254,18.60427087,244.0022704,67.57065146,39.54395674,259.0701174,286.5619709,25.27433211,20.52070746,20.87673382
0.00044375,289.2423088,183.7213249,24.0311316,270.5922247,84.72002255,55.23208972,265.990629,292.7597562,34.22680862,26.51951766,26.58161653
0.000555,297.4592902,211.2281118,29.31708878,291.4565429,101.3932565,71.34361685,270.8312297,296.7857056,44.4402017,32.02841704,31.74855486
0.00066625,304.8984672,235.9588082,34.43821777,310.1432055,117.9460582,87.58554655,274.525464,299.495823,56.03722753,37.36424197,36.70390799
0.0007775,311.911399,258.4071594,39.38910732,327.8161583,134.5260014,103.7586173,277.4920256,301.4639032,69.02240123,42.56058132,41.49014961
0.00088875,318.5246585,278.938792,44.17964788,344.8257316,151.1841381,119.7273244,279.9455755,302.9751633,83.3355227,47.64065005,46.13637877
0.001,324.7065057,297.8345563,48.82709737,361.2438241,167.9248995,135.4001969,282.0124517,304.1745387,98.87699326,52.62139553,50.6636848
0.0011,329.8765731,313.6070312,52.89836856,375.4836662,183.0284734,149.1852089,283.6094409,305.0603979,113.7931103,57.09948484,54.66875348
0.0022125,366.7817462,439.1333365,94.39260103,497.1394022,348.021108,279.7564594,292.8899866,311.0655267,310.103696,103.935114,95.50875742
0.003325,383.3880464,515.0813609,132.7976453,563.4317639,493.0432212,373.5892613,296.3015801,315.4955129,492.121579,147.4124553,132.2401039
0.0044375,392.6439786,567.0903309,169.1819518,599.1129534,611.7135937,442.1967489,298.0286701,318.423961,622.2778078,188.8760229,166.5533795
0.00555,398.6444904,605.2799049,203.3907379,619.540359,706.3697097,493.9497587,299.0706872,320.2829005,705.3832904,228.9214455,199.1832195
0.0066625,402.8784949,634.639563,235.3073941,632.4147515,781.3869482,534.132543,299.7666826,321.5282469,755.0293585,267.883115,230.5370239
0.007775,406.0152763,657.9660396,264.9538337,641.5456456,840.9584398,566.1144475,300.2622292,322.4213286,782.8817816,305.9738984,260.8718109
0.0088875,408.4128727,676.9679093,292.4455185,648.8545025,888.5423701,592.1109149,300.6309136,323.096102,797.0913595,343.3405088,290.363476
0.01,410.2877452,692.7538887,317.9453889,655.3300755,926.8421115,613.6259858,300.9144136,323.6255636,802.965695,380.0898022,319.1393898
0.011,411.6447965,704.8274983,339.3151684,660.8694136,955.064303,630.0145178,301.1178335,324.017421,803.9348411,400.9818503,336.1164828
0.022125,418.2740402,774.6399366,510.6701977,727.5405809,1089.195804,724.0990353,302.116521,327.4621368,768.6468834,594.5030538,491.9135326
0.03325,420.9003505,801.5582415,620.6735254,800.599035,1125.636567,762.1774424,302.4899259,330.2950674,760.0569444,748.9091605,614.6485337
0.044375,422.709523,815.8254257,705.9727492,870.2361007,1144.179405,784.7166216,302.702884,331.898427,768.3329031,882.6038193,692.2481186
0.0555,424.0220517,824.7717223,778.5313683,933.4893506,1157.383455,800.7029209,302.8235158,333.0945108,781.2624918,1002.843437,759.242632
0.066625,424.9446826,831.0219971,843.0975699,990.0272983,1168.11585,813.1877807,302.8808042,334.2094813,794.2242643,1113.399786,818.8609145
0.07775,425.5716524,835.7324972,901.8977332,1040.32348,1177.252864,823.4928194,302.8949035,335.2190188,805.6554286,1216.538057,872.9822288
0.088875,425.9877184,839.4860115,956.1293243,1085.06255,1185.162488,832.2925034,302.8808842,336.0640068,815.1793786,1313.747882,922.8111888
0.1,426.2624412,842.6046647,1006.516069,1124.937058,1192.057383,839.9747809,302.8498379,336.7351636,822.872997,1406.072353,969.1732176
0.11,426.4332456,845.0256237,1048.927803,1157.15092,1197.516405,846.129911,302.814018,337.2147451,828.417766,1421.735967,1040.541418
0.208888889,427.9334619,860.456646,1360.801571,1357.687628,1228.598953,885.2983177,302.5511648,340.3038874,847.3333407,1534.788233,1680.28476
0.307777778,431.1735736,870.0954219,1543.382158,1451.349736,1241.497863,904.7621327,302.6512397,342.5170281,850.3711516,1610.135006,2247.02341
0.406666667,435.071309,877.3784131,1650.145083,1501.326994,1249.166937,915.0530208,302.8910858,343.9234409,855.6300543,1665.44196,2738.774658
0.505555556,438.6410776,883.2098484,1710.332764,1529.495625,1255.188487,920.167865,303.1082087,345.5225873,863.8825539,1679.757613,2771.251221
0.604444444,441.4905524,888.010431,1741.063934,1545.275844,1260.634353,922.0836953,303.2402176,347.3836915,873.9276786,1692.120841,2798.79132
0.703333333,443.5368192,892.0282464,1752.761401,1553.390956,1265.824011,921.9114236,303.2737295,349.0485341,884.7285212,1703.049524,2822.789883
